Type,Category,Amount,Date,Description,Source
Collection,Sponsors,50000,2024-10-01,Corporate Sponsorship,ABC Corp
Collection,Community Donation,25000,2024-10-02,Community Collection,Local Residents
Collection,Others,15000,2024-10-03,Miscellaneous,Various
Spending,Decor,30000,2024-10-05,Pandal Decoration,Decor Company
Spending,Prasad,20000,2024-10-06,Food Items,Catering
Spending,Artists,25000,2024-10-07,Cultural Program,Artist Group
Spending,Lighting,15000,2024-10-08,Electrical Work,Electrician
Collection,Sponsors,30000,2024-10-10,Additional Sponsorship,XYZ Ltd
Spending,Sound System,18000,2024-10-11,Audio Equipment,Sound Company
Collection,Community Donation,20000,2024-10-12,Additional Donations,Residents 